LaTeXFeatures	dec.pl	colnames	rownames	Caption	label	alignment	headings	size	float	longtable	Dcolumn	booktabs	Lines	center	width	spanning	Initial Zero	bold
xtable	ü	ü	ü	ü	ü	ü		ü	ü	ü		ü	ü	ü	ü			
Hmisc	ü	ü	ü	ü	ü	ü	ü	ü		ü	ü	ü	ü	ü	ü			
texreg	ü	ü	ü	ü	ü			ü	ü		ü	ü	ü	ü			ü	ü
reporttools		ü	ü	ü	ü			ü		ü								
tables	ü	ü	ü			ü	ü			ü		ü				ü		
quantreg	ü	ü	ü	ü	ü					ü	ü							
apsrtable	ü	ü	ü	ü	ü	ü			ü		ü					ü		
stargazer	ü	ü	ü	ü	ü	ü	ü	ü	ü				ü				ü	
taRifx	ü			ü	ü	ü												
rms	ü	ü		ü				ü										
memisc	ü						ü				ü	ü						
fdth				ü	ü	ü		ü										
suRtex	ü			ü														
rockchalk	ü	ü	ü		ü		ü		ü									
etable		ü	ü															
r2lh				ü														
